Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
162,claudal01,26,TEX,68.1,,66,299,277,35,91,20,3,4,5,3,13,41,0.329,0.361,0.466,0.827,0.37,129,11,3,3,3,3,1
163,clevimi01,27,CLE,200,,32,810,737,71,164,36,3,21,15,3,67,207,0.223,0.29,0.365,0.655,0.28,269,15,4,0,1,0,5
164,clippty01,33,TOR,68.2,,73,285,256,29,57,14,0,13,8,2,23,85,0.223,0.29,0.43,0.719,0.275,110,1,2,2,2,0,2
165,cloydty01,31,MIA,17.2,,7,87,76,17,25,8,1,3,0,0,10,13,0.329,0.414,0.579,0.993,0.367,44,1,1,0,0,2,0
166,cobbal01,30,BAL,152.1,,28,661,606,93,172,38,5,24,3,6,43,102,0.284,0.332,0.482,0.814,0.305,292,16,4,2,6,5,8
167,coleaj01,26,TOT,48.1,,32,221,196,38,55,11,1,15,1,0,22,59,0.281,0.352,0.577,0.928,0.325,113,2,0,2,1,1,1
168,coleaj01,26,WSN,10.1,,4,53,45,15,16,3,1,6,0,0,6,10,0.356,0.431,0.867,1.298,0.345,39,0,0,2,0,0,0
169,coleaj01,26,NYY,38,,28,168,151,23,39,8,0,9,1,0,16,49,0.258,0.327,0.49,0.817,0.319,74,2,0,0,1,1,1
170,colege01,27,HOU,200.1,,32,799,723,68,143,36,2,19,14,5,64,276,0.198,0.269,0.332,0.6,0.288,240,11,7,2,3,0,4
171,coleta01,28,LAA,36,,18,135,118,11,20,4,0,3,0,1,12,39,0.169,0.261,0.28,0.541,0.221,33,6,3,1,1,0,1
172,colemlo01,32,DET,51.1,,51,217,183,21,43,10,0,5,0,0,24,41,0.235,0.338,0.372,0.71,0.271,68,9,6,1,3,2,2
173,colliti01,28,WSN,22.2,,38,99,87,11,23,3,0,5,2,1,12,21,0.264,0.354,0.471,0.825,0.295,41,3,0,0,0,0,0
174,colomal01,29,TOT,68,,70,282,257,26,59,8,1,7,1,0,21,72,0.23,0.294,0.35,0.645,0.291,90,6,3,0,1,2,5
175,colomal01,29,TBR,21.2,,23,97,88,12,24,6,1,1,1,0,8,23,0.273,0.33,0.398,0.728,0.354,35,2,0,0,1,1,2
176,colomal01,29,SEA,46.1,,47,185,169,14,35,2,0,6,0,0,13,49,0.207,0.276,0.325,0.601,0.254,55,4,3,0,0,1,3
